BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR
398,0,0,16607,10712,48,84,97,10,1,0,0,88,24,134
405,0,17024,20531,12503,27,27,77,29,1,0,0,92,29,110
279,0,24645,9540,8426,13,13,55,50,0,0,0,54,44,60
194,0,64925,6167,3556,51,66,78,37,0,0,0,54,39,54
272,0,0,10357,5857,55,60,42,43,0,0,0,50,32,58
201,0,29945,5494,6956,3,19,77,47,0,0,0,68,49,56
212,0,53000,6781,15135,0,0,98,67,1,0,0,89,76,85
441,33,166874,19659,14227,62,62,240,140,1,0,1,262,159,174
613,20,37573,22986,26504,0,0,124,71,1,1,1,140,81,133
378,0,12865,10626,7083,75,92,153,68,1,1,0,160,96,92
440,0,41251,16746,12767,0,0,112,89,0,0,0,132,95,136
74,0,30093,1610,961,27,87,17,3,0,0,0,14,10,13
156,0,33125,6054,4408,6,6,36,23,0,0,0,43,33,72
366,0,98254,12283,10750,198,300,67,52,1,0,0,69,60,66
266,0,10600,8519,7274,57,89,72,26,0,0,0,78,35,78
164,0,0,4580,3184,102,194,27,39,0,0,0,25,15,43
429,0,160245,19785,14143,133,185,157,110,1,1,0,187,132,114
350,0,185500,10613,6431,4,8,144,104,1,1,0,131,138,134
561,0,131254,28065,20277,0,5,215,232,1,1,0,196,210,153
306,0,0,13924,7564,2,2,131,111,1,0,0,133,120,118
180,0,221981,7740,4849,1,2,102,94,1,1,0,114,76,48
229,0,53000,11081,6557,22,22,64,31,0,0,0,60,31,89
174,16,39750,5768,5010,4,4,82,38,0,0,1,73,51,68
204,0,24645,11676,6553,0,0,121,76,0,0,0,121,78,111
282,0,0,14837,14451,36,65,163,119,1,1,0,159,109,153
128,0,39220,6407,4869,0,0,161,184,0,0,0,145,78,57
277,0,364545,9522,9464,97,155,84,46,0,0,0,91,61,95
133,0,42214,5281,4964,50,142,86,117,0,0,0,99,100,42
179,0,33125,6108,8972,39,69,57,69,0,0,0,66,39,40
155,20,960000,4348,5106,114,114,34,19,0,1,1,39,23,66
705,28,158456,27660,21003,720,1250,239,178,1,0,1,292,209,117
443,0,38690,22648,21228,2,2,236,145,1,0,0,247,198,189
436,15,233425,14143,10980,25,73,99,89,1,0,1,84,62,90
534,40,225417,12760,7022,0,0,72,27,1,1,1,66,33,200
225,0,38955,8017,15386,103,103,147,148,0,0,0,158,334,95
232,16,0,6296,12080,3,3,75,45,0,0,1,43,48,91
349,0,167416,13816,17265,0,0,133,82,1,0,0,115,108,94
113,0,0,4283,4101,23,24,56,41,0,0,0,63,44,59
385,0,585852,14733,19303,167,308,154,97,1,0,0,182,165,156
227,26,134006,8902,6039,113,149,41,13,1,0,1,39,20,65
272,0,15900,13628,6503,0,1,144,116,1,0,0,130,137,100
526,0,205124,21380,20572,97,98,209,213,1,1,0,234,220,209
249,15,13250,8298,7070,39,39,86,82,0,0,1,79,84,79
697,20,170245,28605,13920,7,7,200,125,1,1,1,205,102,193
153,0,0,5909,5507,86,101,58,52,0,0,0,61,47,107
224,40,71774,5654,6470,80,82,53,42,0,0,1,64,45,50
256,0,47700,11054,5712,58,59,83,67,0,1,0,105,90,68
439,0,42400,15247,18735,0,0,102,135,1,0,0,120,145,122
285,8,41605,10942,9763,0,0,61,72,0,0,1,80,99,101
278,0,2424,9706,7449,2,5,64,82,0,0,0,92,80,72
344,14,41523,12209,6907,120,336,81,55,1,0,1,81,52,90
212,11,51410,10116,9858,1,1,162,203,0,0,1,140,194,71
89,89,19733,1054,0,275,478,0,0,0,0,1,0,0,0
353,0,4608,15812,11288,275,464,75,119,0,0,0,110,114,120
665,54,263023,16674,9287,11,11,53,45,1,0,1,65,63,46
173,8,22525,4572,3299,31,54,54,57,0,0,1,52,53,45
195,20,25970,6242,3849,20,51,77,51,0,0,1,55,47,57
723,0,121147,28310,17181,4,4,152,186,1,1,0,196,151,128
376,0,11925,14112,15916,165,359,198,165,1,0,0,182,132,75
453,0,5300,15259,12083,0,0,68,54,1,1,0,104,105,77
267,30,51675,9698,7093,162,206,245,274,1,0,1,183,261,110
474,26,46375,19220,10557,169,173,108,119,1,1,1,125,130,112
138,12,24000,5032,6237,0,28,20,23,0,0,1,4,22,19
175,10,17755,5890,2568,130,162,25,10,0,0,1,9,6,21
500,0,121005,18754,9751,164,337,69,44,1,0,0,70,57,73
473,0,82150,18884,11868,294,596,194,209,1,0,0,216,199,122
390,31,74200,16200,7971,102,213,141,138,0,0,1,136,133,119
292,0,159000,11724,10099,152,204,117,82,0,0,0,119,102,101
202,202,696,1976,0,67,142,0,0,1,0,1,0,0,0
372,0,3975,7674,3624,20,20,58,56,1,0,0,40,38,44
337,0,68900,11997,13796,69,80,88,62,1,0,0,118,103,121
310,0,78705,12322,8654,121,178,113,151,1,0,0,113,156,90
97,0,41075,3404,1608,90,101,33,43,0,0,0,51,51,32
230,0,46640,9400,9634,24,24,73,74,0,0,0,84,88,95
115,0,64395,4750,4611,107,238,27,8,0,0,0,18,21,36
358,0,78970,13274,8123,58,83,104,86,0,0,0,111,113,71
164,16,20670,5726,6987,24,37,40,31,0,0,1,38,33,53
250,0,76969,12220,11518,122,222,87,56,1,0,0,93,119,91
171,0,92750,7641,6125,31,31,42,33,0,0,0,43,34,75
239,27,39485,8850,12679,69,99,66,75,0,0,1,109,122,82
352,0,102366,13680,8414,7,15,83,100,1,1,0,91,114,84
266,0,161536,9697,10156,211,304,50,35,0,0,0,45,28,70
230,0,25440,7586,5519,0,0,88,165,0,0,0,80,146,82
166,0,80560,7265,11981,5,18,195,442,0,0,0,192,282,80
184,0,17225,7279,6612,227,301,44,33,0,0,0,56,49,46
170,0,64395,7237,7025,55,122,48,47,0,0,0,42,28,38
262,14,92220,7555,7575,48,62,58,40,0,0,1,62,34,75
123,0,70235,4004,5084,12,12,55,34,0,0,0,46,34,51
108,108,0,1461,0,18,45,0,0,0,0,1,0,0,0
72,72,0,70,0,19,19,0,0,0,0,1,0,0,0
435,44,42400,15897,20171,480,866,143,108,1,0,1,122,121,157
532,0,56180,15795,14024,29,128,163,162,1,0,0,150,178,117
303,0,63600,12945,10456,0,1,58,28,1,0,0,74,41,91
182,0,58300,7304,11780,2,3,79,73,0,0,0,116,111,60
88,88,30678,1224,0,0,1,0,0,0,0,1,0,0,0
335,0,44255,12471,9655,4,4,116,121,0,0,0,106,121,122
439,36,0,16032,11250,0,1,96,105,1,1,1,103,92,86
485,24,81499,3288,931,9,9,0,0,0,0,1,0,0,0
194,12,3282,9657,9304,0,0,83,65,1,0,1,98,63,91
196,0,4011,8151,6255,8,8,37,16,0,0,0,41,32,66
402,0,46500,16807,13373,7,7,165,146,1,0,0,188,185,112
157,0,35775,5726,5396,28,62,77,87,0,0,0,81,99,77
371,40,33655,16347,11059,46,47,87,109,1,0,1,90,129,85
217,20,61745,9489,7501,45,45,76,105,0,0,1,86,96,86
150,0,25440,5990,2901,33,69,47,57,0,0,0,50,57,39
510,0,51940,22751,16330,1,1,194,113,1,1,0,214,131,177
88,88,0,1487,0,26,26,0,0,0,0,1,0,0,0
206,10,50134,6374,7798,31,31,32,41,0,0,1,30,39,34
527,31,62805,22927,26867,13,13,241,210,1,1,1,268,238,243
244,19,38955,11003,11392,27,38,79,91,0,0,1,75,119,78
193,8,0,6311,4855,19,21,81,83,0,0,1,59,92,63
297,34,49555,10295,13832,0,1,83,105,1,0,1,109,98,80
577,40,462766,20130,16452,336,354,241,237,1,1,1,245,279,126
221,0,36305,8825,7327,2,3,57,16,1,0,0,51,23,78
435,0,0,16252,12606,30,30,97,89,1,0,0,101,81,104
148,0,46375,5585,7143,148,152,64,88,0,0,0,82,98,63
359,14,85125,12363,9813,63,67,70,54,1,0,1,81,74,105
70,0,21200,2813,2341,57,85,17,12,0,0,0,17,9,34
267,0,33125,8873,11663,57,87,58,45,1,0,0,63,67,49
75,75,3800,1213,0,42,78,0,0,0,0,1,0,0,0
319,0,0,12498,8274,0,0,228,274,1,0,0,218,253,179
130,0,38955,4430,3305,86,114,41,43,0,0,0,37,26,63
229,0,2369,9874,7730,3,3,71,40,0,0,0,79,56,87
317,0,42400,11984,7863,41,46,66,56,1,1,0,96,77,106
230,0,0,6795,5128,8,16,64,86,1,0,0,69,94,78
365,0,63600,12420,6773,4,4,86,80,1,0,0,94,85,104
214,0,200750,10703,10702,8,8,54,43,1,0,0,39,53,79
210,20,0,8164,7806,76,98,79,97,1,0,1,70,101,49
447,0,43460,14448,8457,9,12,145,161,1,0,0,132,156,106
226,0,0,7567,6285,6,6,60,37,1,0,0,68,39,57
366,0,0,13578,15460,63,138,192,245,1,1,0,185,193,96
213,30,51675,8263,6219,3,6,52,25,0,0,1,68,56,93
230,0,115000,8298,6219,14,14,96,87,0,0,0,87,90,69
465,26,104034,20022,10634,30,47,121,58,1,1,1,101,55,202
243,0,52205,9290,6756,128,153,52,70,1,0,0,55,65,65
362,0,65455,14964,12788,0,2,194,149,1,0,0,196,161,127
468,30,78705,16657,15816,4,10,50,33,1,1,1,78,49,108
266,20,29680,11559,6627,151,151,104,136,1,0,1,93,118,96
247,0,54325,11970,8316,2,8,114,98,0,0,0,115,126,94
260,35,0,11467,8334,35,58,53,27,0,1,1,72,26,110
216,0,30210,8473,9191,68,79,94,84,0,0,0,89,61,102
190,25,0,6998,4267,125,253,52,55,1,0,1,62,77,56
417,0,37365,16630,11709,0,0,82,55,1,0,0,107,63,96
556,24,31800,18175,11592,65,151,157,123,1,1,1,136,98,93
96,96,0,1040,0,17,17,0,0,1,0,1,0,0,0
702,21,44853,27823,17380,0,0,206,148,1,1,1,156,174,111
707,32,39220,25710,20809,160,207,78,78,1,1,1,90,69,93
480,0,1212,20061,14327,0,0,714,835,1,0,0,783,1081,92
212,0,0,8641,8190,2,2,88,67,0,0,0,78,77,107
364,0,809,15009,8077,0,0,100,65,1,1,0,129,69,158
217,46,14757,8651,9299,3,3,35,16,1,0,1,24,11,33
190,0,47700,9431,3421,94,113,76,29,1,0,0,92,35,119
147,0,32595,5331,4084,32,32,32,20,0,0,0,37,35,50
383,0,44255,12606,8197,57,57,49,26,1,1,0,55,36,69
437,20,39750,17147,15522,231,231,57,105,1,1,1,50,69,63
152,152,37492,2188,0,72,123,0,0,1,0,1,9,0,3
542,0,59352,20215,11731,51,82,113,121,1,1,0,119,70,138
320,0,0,11601,9961,11,11,46,40,1,0,0,55,30,59
120,30,6625,3530,0,3,3,0,0,0,0,1,0,0,0
293,0,40545,11031,8895,16,45,77,40,0,0,0,79,58,113
168,0,0,7470,12480,71,184,79,98,0,0,0,80,108,57
103,103,1867,2015,0,369,539,0,0,1,0,1,0,0,0
245,0,2542,8054,6346,0,1,64,98,1,0,0,71,80,58
238,30,33390,7150,7558,1,1,51,63,1,0,1,62,72,56
214,0,56180,8463,7026,12,12,95,68,0,0,0,66,61,82
526,0,49290,23683,23701,51,51,308,398,1,0,0,298,485,192
258,0,51410,10247,8526,11,11,65,65,1,0,0,104,104,87
92,92,0,1303,0,10,10,0,0,0,0,1,0,0,0
697,0,287132,32541,23476,139,248,194,137,0,1,0,209,172,285
333,0,120491,13425,17584,380,768,156,153,1,0,0,175,183,121
191,0,36715,9277,8825,1,1,49,54,1,0,0,79,75,76
160,160,26457,1217,0,67,71,0,0,0,0,1,0,0,0
877,0,74211,30231,18175,43,43,68,36,1,1,0,98,55,158
362,0,67452,13831,12404,25,31,220,132,1,0,0,218,133,127
376,0,6598,12742,12718,58,58,61,64,1,0,0,76,89,61
483,0,19823,17918,11219,76,98,114,58,1,1,0,120,77,149
450,0,109985,12241,7531,185,253,22,14,1,1,0,36,15,52
267,0,41432,10971,15159,69,110,139,81,1,1,0,140,98,157
194,0,76629,8243,6351,26,32,95,23,0,0,0,86,37,55
236,0,0,15106,15093,123,182,120,50,0,0,0,98,77,112
393,0,392517,16650,21222,80,119,62,56,1,0,0,52,0,35
452,0,149525,23265,16555,13,13,94,60,1,0,0,124,73,156
300,0,25705,13359,11062,13,13,48,22,1,0,0,40,21,70
213,0,25950,11680,7255,4,4,58,40,0,0,0,60,45,54
128,0,15900,6452,4856,1,1,39,27,0,0,0,46,25,57
314,0,9127,15346,13555,215,217,83,122,0,0,0,80,126,91
240,0,10600,10568,10819,2,2,82,60,0,0,0,82,53,110
128,0,31737,7757,7430,83,111,65,39,0,0,0,67,50,77
710,0,134633,24516,18104,7,7,35,20,1,1,0,36,31,260
287,0,359093,12168,13754,19,32,49,51,1,0,0,52,67,38
386,0,413360,22637,24383,7,7,75,41,1,1,0,96,79,87
460,0,110909,19664,18394,0,1,145,139,1,0,0,183,170,124
69,18,84594,1447,2792,122,250,81,165,1,0,1,69,155,40
76,22,41360,1954,4650,1,1,131,161,1,0,1,125,140,14
479,57,295190,20286,18832,7,7,81,56,1,1,1,91,57,113
345,18,371094,16075,13507,87,339,120,134,1,0,1,150,153,116
416,0,513046,19171,12821,0,0,147,85,1,0,0,150,92,158
405,0,517505,21569,17310,30,30,108,71,1,0,0,100,97,115
254,69,91728,9278,5886,40,43,344,472,1,0,1,343,400,79
946,0,1575371,37527,21614,31,68,212,72,1,1,0,182,104,76
303,0,19345,15522,11175,0,0,109,133,0,0,0,129,130,114
201,0,7212,9060,11134,0,0,114,90,0,1,0,133,99,74
160,0,13250,8407,6900,0,0,96,117,0,0,0,101,146,89
241,0,50091,13440,9401,2,2,87,72,0,0,0,103,97,93
296,0,319504,12900,10408,128,246,96,135,1,1,0,95,96,135
403,0,18531,18238,15668,75,103,102,85,0,1,0,108,78,133
156,0,22777,8734,8096,13,25,38,34,0,0,0,47,24,55
656,10,87126,39428,27048,3,5,148,84,1,1,1,169,68,265
296,0,12896,14900,9777,9,10,126,57,1,0,0,131,79,96
105,21,42610,2403,2805,1,1,335,215,1,0,1,185,180,47
347,0,44072,14780,10209,5,5,66,35,0,1,0,78,38,98
229,59,24521,6459,7615,14,17,50,46,0,0,1,144,69,65
288,0,52157,13310,8912,4,5,82,50,0,0,0,85,51,124
362,0,110843,16839,6087,69,88,158,136,0,0,0,170,131,136
95,32,16445,1404,0,18,18,0,1,0,0,1,1,0,1
188,0,81822,8601,7379,23,39,96,110,0,0,0,119,89,105
586,0,488169,24724,12424,262,292,154,88,1,1,0,145,52,168
40,40,3600,260,0,6,6,0,0,1,0,1,0,0,1
131,20,47657,4860,3787,0,0,81,47,0,0,1,110,78,76
100,0,59414,5569,4683,6,12,63,34,0,0,0,59,38,48
146,0,27368,4906,4458,8,9,55,59,0,0,0,46,60,41
437,0,123594,16531,14094,157,245,107,92,1,0,0,108,81,88
368,0,105287,18851,16962,16,21,155,203,1,0,0,171,191,117
341,0,54435,16561,13460,40,55,247,265,0,0,0,195,257,86
269,24,62783,8406,12050,144,229,99,86,0,0,1,94,60,88
200,36,11473,3712,5037,23,25,87,211,0,0,1,60,118,37
831,41,470949,25917,13655,0,2,116,96,1,1,1,110,81,160
