BEDS,RBEDS,OUTV,ADM,SIR,SALESY,SALES12,PRHIP,PRKNEE,TH,TRAUMA,REHAB,HIP,KNEE,FEMUR,SALES_GROWTH,TOTAL_OPS,SALES_PER_BED
719,17,83109,30503,18253,1,2,229,126,1,1,1,257,194,232,-1,683,0.0013908205841446453
247,0,10792,11049,9723,0,0,113,91,1,0,0,96,100,68,0,264,0.0
54,20,1261,1021,0,0,0,86,91,1,0,1,102,119,106,0,327,0.0
238,0,32259,7520,4823,8,8,65,31,1,0,0,86,47,82,0,215,0.03361344537815126
218,0,76730,7609,5116,4,4,39,27,0,1,0,41,29,70,0,140,0.01834862385321101
102,102,41231,1031,0,27,45,0,0,0,0,1,0,0,0,-18,0,0.2647058823529412
292,27,90158,9913,5703,7,7,57,35,0,0,1,68,41,75,0,184,0.023972602739726026
302,0,61309,12689,6988,13,13,60,50,0,1,0,48,36,97,0,181,0.04304635761589404
229,0,56579,11484,9015,6,6,144,105,0,1,0,144,127,102,0,373,0.026200873362445413
92,0,32764,2395,1616,7,8,10,4,0,1,0,12,0,19,-1,31,0.07608695652173914
397,0,304879,17767,10175,27,46,164,109,1,0,0,207,108,88,-19,403,0.06801007556675064
114,0,56257,6050,4431,62,69,66,83,0,0,0,68,69,42,-7,179,0.543859649122807
130,0,59926,6310,4452,4,4,58,41,0,1,0,40,41,64,0,145,0.03076923076923077
100,0,41365,5301,4588,76,144,56,23,0,1,0,72,26,63,-68,161,0.76
150,0,44236,5141,6424,25,26,59,55,0,0,0,56,50,53,-1,159,0.16666666666666666
200,0,55300,7542,6023,2,2,64,93,1,0,0,87,87,63,0,237,0.01
598,36,87946,23898,20865,184,395,222,138,1,1,1,213,134,152,-211,499,0.3076923076923077
80,80,7279,850,0,7,10,0,0,0,0,1,0,0,0,-3,0,0.0875
122,0,36938,4903,4392,6,6,63,41,0,0,0,40,50,36,0,126,0.04918032786885246
250,12,107297,9203,5503,1,1,66,46,1,0,1,91,47,62,0,200,0.004
296,0,104494,4385,1328,90,144,19,14,1,0,0,18,13,9,-54,40,0.30405405405405406
136,0,86152,6233,7828,115,134,47,42,1,0,0,59,44,104,-19,207,0.8455882352941176
96,0,28212,3425,7542,73,123,69,83,0,0,0,85,79,57,-50,221,0.7604166666666666
382,17,209296,14902,10456,97,99,162,113,1,1,1,169,109,150,-2,428,0.25392670157068065
64,0,22115,2382,1623,57,83,24,11,0,0,0,31,16,30,-26,77,0.890625
236,25,263189,7891,6748,3,3,66,56,1,0,1,65,70,52,0,187,0.012711864406779662
492,40,48373,21329,11738,1,1,163,142,1,1,1,174,143,143,0,460,0.0020325203252032522
188,0,58594,8555,4897,48,78,97,58,0,0,0,107,62,83,-30,252,0.2553191489361702
77,0,9269,2629,2203,69,119,52,40,0,0,0,45,42,32,-50,119,0.8961038961038961
181,0,110788,8069,8887,63,65,40,43,1,0,0,46,47,79,-2,172,0.34806629834254144
276,0,12012,5849,4157,46,93,81,31,1,0,0,52,29,63,-47,144,0.16666666666666666
231,0,65864,8669,6560,0,1,75,53,0,0,0,67,64,98,-1,229,0.0
338,0,124654,13688,11650,35,35,98,104,1,1,0,111,127,137,0,375,0.10355029585798817
553,9,211514,20688,13037,96,172,148,104,1,1,1,183,113,185,-76,481,0.1735985533453888
155,10,53398,7530,6426,1,1,38,24,1,0,1,54,39,57,0,150,0.0064516129032258064
850,0,109036,34021,35727,46,64,374,321,1,1,0,393,307,276,-18,976,0.05411764705882353
124,0,198111,4647,3041,2,2,34,37,0,0,0,46,33,43,0,122,0.016129032258064516
308,14,136667,11706,11303,151,165,140,95,0,0,1,123,136,102,-14,361,0.4902597402597403
213,0,78936,9283,7581,0,10,91,67,0,0,0,94,71,69,-10,234,0.0
140,0,19574,7489,10148,0,0,98,44,0,0,0,69,76,113,0,258,0.0
226,0,280855,9863,11447,0,0,124,98,1,1,0,161,90,154,0,405,0.0
786,12,700744,30386,17257,1,1,129,97,1,1,1,159,51,243,0,453,0.001272264631043257
489,12,114299,17301,14390,0,0,176,205,1,0,1,198,168,236,0,602,0.0
391,0,23174,14270,9726,3,9,89,57,1,0,0,129,92,170,-6,391,0.0076726342710997444
475,13,63656,17424,10940,0,0,154,112,1,0,1,147,124,137,0,408,0.0
306,0,105316,12830,7119,61,61,96,81,1,0,0,108,58,91,0,257,0.19934640522875818
322,0,16044,11664,9457,75,94,247,144,1,0,0,244,127,104,-19,475,0.2329192546583851
168,0,117386,6280,5460,16,22,75,35,0,0,0,51,34,52,-6,137,0.09523809523809523
406,14,135167,17067,10177,0,0,158,128,1,1,1,173,96,163,0,432,0.0
176,0,120476,7932,9922,0,0,98,64,1,0,0,128,83,82,0,293,0.0
320,18,48556,11935,11185,118,166,126,47,1,0,1,145,80,127,-48,352,0.36875
190,27,28007,5099,6950,36,48,49,24,1,0,1,47,16,56,-12,119,0.18947368421052632
282,0,74566,10613,7040,14,22,49,14,1,0,0,73,23,48,-8,144,0.04964539007092199
705,0,12190,24467,14013,65,65,162,48,1,0,0,200,50,123,0,373,0.09219858156028368
369,0,68171,13784,13258,6,8,154,60,1,0,0,152,62,126,-2,340,0.016260162601626018
316,0,90654,9770,6630,0,0,154,113,1,0,0,136,96,40,0,272,0.0
78,78,0,925,0,32,40,0,0,1,0,1,0,0,0,-8,0,0.41025641025641024
303,0,45783,14712,7884,0,41,65,44,0,0,0,63,60,74,-41,197,0.0
396,0,145662,14626,9132,0,15,97,31,1,0,0,104,39,90,-15,233,0.0
298,0,85722,10086,7455,1,1,43,14,0,0,0,40,17,82,0,139,0.003355704697986577
201,0,53399,7144,5008,8,30,41,42,0,0,0,51,50,68,-22,169,0.03980099502487562
518,0,249535,16202,6246,12,18,22,8,1,1,0,18,5,91,-6,114,0.023166023166023165
402,0,287866,13392,7188,63,63,53,16,0,0,0,64,30,57,0,151,0.15671641791044777
270,0,38371,9692,10354,15,17,60,36,0,0,0,63,33,98,-2,194,0.05555555555555555
421,0,61638,25009,14477,43,84,206,169,0,0,0,216,167,153,-41,536,0.1021377672209026
546,0,23585,20540,9391,0,2,69,47,1,1,0,69,32,88,-2,189,0.0
530,0,603278,24734,16684,18,48,196,197,1,1,0,239,158,198,-30,595,0.033962264150943396
520,0,196639,16999,11047,18,26,103,32,1,0,0,102,33,140,-8,275,0.03461538461538462
370,0,89142,14410,7503,1,1,107,50,1,0,0,110,75,105,0,290,0.002702702702702703
296,0,92224,15764,7653,119,120,76,48,0,0,0,83,68,117,-1,268,0.40202702702702703
476,0,70985,17373,14355,14,14,122,83,0,0,0,131,77,114,0,322,0.029411764705882353
240,0,111129,11926,7900,92,97,73,18,0,0,0,75,24,88,-5,187,0.38333333333333336
218,0,15900,8016,5551,0,1,37,10,0,0,0,65,18,84,-1,167,0.0
449,0,190137,18929,13853,40,40,114,57,1,0,0,108,71,93,0,272,0.08908685968819599
466,0,166775,19269,9384,6,6,110,80,1,1,0,134,75,142,0,351,0.012875536480686695
324,0,42405,10255,10158,71,74,78,40,0,0,0,76,44,81,-3,201,0.2191358024691358
296,0,72875,11049,7709,78,79,83,52,0,0,0,77,60,86,-1,223,0.2635135135135135
602,0,293116,20985,22374,52,54,205,95,1,0,0,183,99,181,-2,463,0.08637873754152824
72,72,8333,746,0,47,47,0,0,0,0,1,0,0,0,0,0,0.6527777777777778
523,0,0,21416,17498,367,845,182,118,1,1,0,168,116,173,-478,457,0.7017208413001912
246,0,38690,15153,6363,0,0,185,184,1,0,0,181,176,181,0,538,0.0
369,0,69337,16000,7486,0,0,107,98,1,0,0,116,112,120,0,348,0.0
236,0,6360,8220,7366,0,0,116,92,0,0,0,129,88,181,0,398,0.0
339,0,108864,12676,8353,32,36,93,83,1,0,0,86,80,92,-4,258,0.0943952802359882
325,0,25970,10206,3081,0,0,126,58,1,1,0,119,54,168,0,341,0.0
413,0,22525,14056,9305,288,362,110,48,1,0,0,128,61,108,-74,297,0.6973365617433414
344,0,118376,13484,9387,23,28,76,76,0,0,0,75,85,67,-5,227,0.06686046511627906
388,0,39750,13958,12106,0,1,60,26,1,0,0,58,51,80,-1,189,0.0
86,86,0,977,0,50,58,0,0,0,0,1,0,0,0,-8,0,0.5813953488372093
166,0,45797,4879,5871,2,2,50,30,0,0,0,47,30,49,0,126,0.012048192771084338
345,0,77965,12315,7325,0,2,113,32,0,0,0,95,41,134,-2,270,0.0
330,0,19345,11328,11385,42,42,121,60,0,0,0,139,53,139,0,331,0.12727272727272726
499,0,376878,19053,16775,0,0,179,105,0,0,0,194,110,252,0,556,0.0
416,0,1906,19412,21082,153,189,138,140,1,0,0,144,132,130,-36,406,0.36778846153846156
182,0,134991,7443,5214,54,55,59,24,1,0,0,65,24,58,-1,147,0.2967032967032967
381,0,116622,17039,10864,67,84,199,150,1,1,0,193,114,102,-17,409,0.17585301837270342
443,0,78421,23244,13585,65,71,54,72,1,0,0,92,83,102,-6,277,0.14672686230248308
220,26,0,5954,9500,818,1885,793,617,1,0,1,768,590,146,-1067,1504,3.7181818181818183
493,0,44542,12345,8910,62,62,80,47,1,0,0,65,49,52,0,166,0.1257606490872211
962,28,721546,37662,23860,0,0,69,155,1,0,1,107,219,109,0,435,0.0
788,32,209145,22316,7772,26,29,108,49,1,1,1,97,44,138,-3,279,0.03299492385786802
726,0,58263,26029,20128,49,49,132,76,1,0,0,150,77,104,0,331,0.0674931129476584
1048,0,181245,37126,22203,20,24,80,0,1,1,0,75,0,179,-4,254,0.019083969465648856
565,0,0,18653,13468,11,11,62,19,1,0,0,67,24,37,0,128,0.019469026548672566
192,0,0,6333,6314,0,1,1421,840,1,0,0,1373,727,149,-1,2249,0.0
634,0,133578,28164,15022,0,0,178,68,1,0,0,173,77,154,0,404,0.0
788,0,0,26215,2363,180,339,126,45,1,0,0,133,48,237,-159,418,0.22842639593908629
1071,36,284564,39630,28659,58,62,245,68,1,0,1,233,70,191,-4,494,0.05415499533146592
1314,41,0,41493,22314,0,7,239,155,1,0,1,232,119,212,-7,563,0.0
212,0,9275,7803,10523,108,193,102,284,0,0,0,0,0,0,-85,0,0.5094339622641509
431,48,0,19568,11924,4,4,101,91,1,1,1,106,83,157,0,346,0.009280742459396751
430,0,0,15544,4906,60,96,21,12,1,0,0,25,12,22,-36,59,0.13953488372093023
1248,0,0,24057,21100,1000,1512,268,157,1,0,0,265,143,309,-512,717,0.8012820512820513
378,25,186630,12425,2695,6,8,11,3,1,0,1,15,3,22,-2,40,0.015873015873015872
164,0,0,5819,4127,28,42,47,45,0,0,0,83,52,65,-14,200,0.17073170731707318
259,0,48561,11287,5836,169,253,79,36,0,0,0,71,46,82,-84,199,0.6525096525096525
294,0,0,8511,6421,0,1,53,30,0,0,0,39,22,84,-1,145,0.0
638,18,151612,20019,17750,80,82,55,26,1,1,1,45,31,54,-2,130,0.12539184952978055
301,0,6435,11374,12420,0,0,113,51,0,0,0,124,61,121,0,306,0.0
150,150,13642,1397,0,0,9,0,0,1,0,1,0,0,0,-9,0,0.0
273,0,0,12342,8324,19,21,42,13,0,0,0,47,18,57,-2,122,0.0695970695970696
281,0,25440,10984,5406,176,269,106,49,0,0,0,112,51,108,-93,271,0.6263345195729537
311,0,0,11266,6339,254,334,44,21,1,0,0,53,37,110,-80,200,0.8167202572347267
370,0,25175,14302,8945,2,2,47,32,0,0,0,68,37,116,0,221,0.005405405405405406
274,15,0,9596,5985,40,49,64,13,0,0,1,65,25,61,-9,151,0.145985401459854
375,0,27825,17326,9134,72,83,73,35,1,1,0,58,27,149,-11,234,0.192
669,0,111300,34792,22797,1,4,281,166,1,1,0,302,160,238,-3,700,0.0014947683109118087
829,0,13250,29832,25346,134,142,136,62,1,0,0,168,53,125,-8,346,0.16164053075995174
235,0,14840,7869,5289,5,20,53,30,0,0,0,53,35,89,-15,177,0.02127659574468085
354,18,0,9873,8767,0,4,29,28,1,0,1,37,36,42,-4,115,0.0
532,0,91254,19570,10644,37,37,88,36,1,0,0,75,32,138,0,245,0.06954887218045112
705,0,76924,22408,10641,20,20,125,60,1,0,0,129,48,173,0,350,0.028368794326241134
190,0,0,5528,1907,1,1,46,19,0,0,0,42,6,84,0,132,0.005263157894736842
487,0,99875,22348,12430,34,85,116,46,1,1,0,109,48,191,-51,348,0.06981519507186858
459,0,119547,17589,7199,18,72,93,44,1,0,0,80,26,142,-54,248,0.0392156862745098
358,0,20785,15940,6470,6,9,153,71,1,0,0,167,69,315,-3,551,0.01675977653631285
302,0,10600,12952,5845,32,67,43,29,1,0,0,49,37,57,-35,143,0.10596026490066225
244,0,7155,7037,8237,21,23,50,3,0,0,0,39,0,89,-2,128,0.0860655737704918
295,25,34715,8920,4071,36,36,45,3,1,1,1,28,3,118,0,149,0.12203389830508475
581,0,72141,26543,16754,6,6,154,63,1,1,0,190,100,145,0,435,0.010327022375215147
265,22,0,8192,6276,4,7,42,26,1,0,1,47,27,79,-3,153,0.01509433962264151
186,15,230318,5686,3213,0,4,34,3,0,0,1,40,6,73,-4,119,0.0
387,0,7950,15470,7103,3,3,117,73,1,1,0,129,70,97,0,296,0.007751937984496124
429,0,68025,15003,7904,0,0,114,57,1,1,0,109,36,139,0,284,0.0
305,0,36254,9283,5354,3,3,68,9,0,0,0,58,4,93,0,155,0.009836065573770493
272,0,40303,6109,2909,0,3,45,10,1,0,0,57,9,72,-3,138,0.0
306,0,13250,11638,4499,0,0,134,88,1,0,0,149,88,177,0,414,0.0
489,0,14310,18386,2535,55,55,48,13,1,0,0,58,20,79,0,157,0.11247443762781185
223,0,0,7302,7514,43,76,56,10,0,0,0,53,23,55,-33,131,0.19282511210762332
398,0,0,16607,10712,48,84,97,10,1,0,0,88,24,134,-36,246,0.12060301507537688
405,0,17024,20531,12503,27,27,77,29,1,0,0,92,29,110,0,231,0.06666666666666667
279,0,24645,9540,8426,13,13,55,50,0,0,0,54,44,60,0,158,0.04659498207885305
194,0,64925,6167,3556,51,66,78,37,0,0,0,54,39,54,-15,147,0.26288659793814434
272,0,0,10357,5857,55,60,42,43,0,0,0,50,32,58,-5,140,0.20220588235294118
201,0,29945,5494,6956,3,19,77,47,0,0,0,68,49,56,-16,173,0.014925373134328358
212,0,53000,6781,15135,0,0,98,67,1,0,0,89,76,85,0,250,0.0
441,33,166874,19659,14227,62,62,240,140,1,0,1,262,159,174,0,595,0.14058956916099774
613,20,37573,22986,26504,0,0,124,71,1,1,1,140,81,133,0,354,0.0
378,0,12865,10626,7083,75,92,153,68,1,1,0,160,96,92,-17,348,0.1984126984126984
440,0,41251,16746,12767,0,0,112,89,0,0,0,132,95,136,0,363,0.0
74,0,30093,1610,961,27,87,17,3,0,0,0,14,10,13,-60,37,0.36486486486486486
156,0,33125,6054,4408,6,6,36,23,0,0,0,43,33,72,0,148,0.038461538461538464
366,0,98254,12283,10750,198,300,67,52,1,0,0,69,60,66,-102,195,0.5409836065573771
266,0,10600,8519,7274,57,89,72,26,0,0,0,78,35,78,-32,191,0.21428571428571427
164,0,0,4580,3184,102,194,27,39,0,0,0,25,15,43,-92,83,0.6219512195121951
429,0,160245,19785,14143,133,185,157,110,1,1,0,187,132,114,-52,433,0.31002331002331
350,0,185500,10613,6431,4,8,144,104,1,1,0,131,138,134,-4,403,0.011428571428571429
561,0,131254,28065,20277,0,5,215,232,1,1,0,196,210,153,-5,559,0.0
306,0,0,13924,7564,2,2,131,111,1,0,0,133,120,118,0,371,0.006535947712418301
180,0,221981,7740,4849,1,2,102,94,1,1,0,114,76,48,-1,238,0.005555555555555556
229,0,53000,11081,6557,22,22,64,31,0,0,0,60,31,89,0,180,0.09606986899563319
174,16,39750,5768,5010,4,4,82,38,0,0,1,73,51,68,0,192,0.022988505747126436
204,0,24645,11676,6553,0,0,121,76,0,0,0,121,78,111,0,310,0.0
282,0,0,14837,14451,36,65,163,119,1,1,0,159,109,153,-29,421,0.1276595744680851
128,0,39220,6407,4869,0,0,161,184,0,0,0,145,78,57,0,280,0.0
277,0,364545,9522,9464,97,155,84,46,0,0,0,91,61,95,-58,247,0.35018050541516244
133,0,42214,5281,4964,50,142,86,117,0,0,0,99,100,42,-92,241,0.37593984962406013
179,0,33125,6108,8972,39,69,57,69,0,0,0,66,39,40,-30,145,0.21787709497206703
155,20,960000,4348,5106,114,114,34,19,0,1,1,39,23,66,0,128,0.7354838709677419
705,28,158456,27660,21003,720,1250,239,178,1,0,1,292,209,117,-530,618,1.0212765957446808
443,0,38690,22648,21228,2,2,236,145,1,0,0,247,198,189,0,634,0.004514672686230248
436,15,233425,14143,10980,25,73,99,89,1,0,1,84,62,90,-48,236,0.05733944954128441
534,40,225417,12760,7022,0,0,72,27,1,1,1,66,33,200,0,299,0.0
225,0,38955,8017,15386,103,103,147,148,0,0,0,158,334,95,0,587,0.4577777777777778
232,16,0,6296,12080,3,3,75,45,0,0,1,43,48,91,0,182,0.01293103448275862
349,0,167416,13816,17265,0,0,133,82,1,0,0,115,108,94,0,317,0.0
113,0,0,4283,4101,23,24,56,41,0,0,0,63,44,59,-1,166,0.20353982300884957
385,0,585852,14733,19303,167,308,154,97,1,0,0,182,165,156,-141,503,0.43376623376623374
227,26,134006,8902,6039,113,149,41,13,1,0,1,39,20,65,-36,124,0.4977973568281938
272,0,15900,13628,6503,0,1,144,116,1,0,0,130,137,100,-1,367,0.0
526,0,205124,21380,20572,97,98,209,213,1,1,0,234,220,209,-1,663,0.1844106463878327
249,15,13250,8298,7070,39,39,86,82,0,0,1,79,84,79,0,242,0.1566265060240964
697,20,170245,28605,13920,7,7,200,125,1,1,1,205,102,193,0,500,0.010043041606886656
153,0,0,5909,5507,86,101,58,52,0,0,0,61,47,107,-15,215,0.5620915032679739
224,40,71774,5654,6470,80,82,53,42,0,0,1,64,45,50,-2,159,0.35714285714285715
256,0,47700,11054,5712,58,59,83,67,0,1,0,105,90,68,-1,263,0.2265625
439,0,42400,15247,18735,0,0,102,135,1,0,0,120,145,122,0,387,0.0
285,8,41605,10942,9763,0,0,61,72,0,0,1,80,99,101,0,280,0.0
278,0,2424,9706,7449,2,5,64,82,0,0,0,92,80,72,-3,244,0.007194244604316547
344,14,41523,12209,6907,120,336,81,55,1,0,1,81,52,90,-216,223,0.3488372093023256
212,11,51410,10116,9858,1,1,162,203,0,0,1,140,194,71,0,405,0.0047169811320754715
89,89,19733,1054,0,275,478,0,0,0,0,1,0,0,0,-203,0,3.0898876404494384
353,0,4608,15812,11288,275,464,75,119,0,0,0,110,114,120,-189,344,0.7790368271954674
665,54,263023,16674,9287,11,11,53,45,1,0,1,65,63,46,0,174,0.016541353383458645
173,8,22525,4572,3299,31,54,54,57,0,0,1,52,53,45,-23,150,0.1791907514450867
195,20,25970,6242,3849,20,51,77,51,0,0,1,55,47,57,-31,159,0.10256410256410256
723,0,121147,28310,17181,4,4,152,186,1,1,0,196,151,128,0,475,0.005532503457814661
376,0,11925,14112,15916,165,359,198,165,1,0,0,182,132,75,-194,389,0.43882978723404253
453,0,5300,15259,12083,0,0,68,54,1,1,0,104,105,77,0,286,0.0
267,30,51675,9698,7093,162,206,245,274,1,0,1,183,261,110,-44,554,0.6067415730337079
474,26,46375,19220,10557,169,173,108,119,1,1,1,125,130,112,-4,367,0.35654008438818563
138,12,24000,5032,6237,0,28,20,23,0,0,1,4,22,19,-28,45,0.0
175,10,17755,5890,2568,130,162,25,10,0,0,1,9,6,21,-32,36,0.7428571428571429
500,0,121005,18754,9751,164,337,69,44,1,0,0,70,57,73,-173,200,0.328
473,0,82150,18884,11868,294,596,194,209,1,0,0,216,199,122,-302,537,0.6215644820295984
390,31,74200,16200,7971,102,213,141,138,0,0,1,136,133,119,-111,388,0.26153846153846155
292,0,159000,11724,10099,152,204,117,82,0,0,0,119,102,101,-52,322,0.5205479452054794
202,202,696,1976,0,67,142,0,0,1,0,1,0,0,0,-75,0,0.3316831683168317
372,0,3975,7674,3624,20,20,58,56,1,0,0,40,38,44,0,122,0.053763440860215055
337,0,68900,11997,13796,69,80,88,62,1,0,0,118,103,121,-11,342,0.20474777448071216
310,0,78705,12322,8654,121,178,113,151,1,0,0,113,156,90,-57,359,0.3903225806451613
97,0,41075,3404,1608,90,101,33,43,0,0,0,51,51,32,-11,134,0.9278350515463918
230,0,46640,9400,9634,24,24,73,74,0,0,0,84,88,95,0,267,0.10434782608695652
115,0,64395,4750,4611,107,238,27,8,0,0,0,18,21,36,-131,75,0.9304347826086956
358,0,78970,13274,8123,58,83,104,86,0,0,0,111,113,71,-25,295,0.16201117318435754
164,16,20670,5726,6987,24,37,40,31,0,0,1,38,33,53,-13,124,0.14634146341463414
250,0,76969,12220,11518,122,222,87,56,1,0,0,93,119,91,-100,303,0.488
171,0,92750,7641,6125,31,31,42,33,0,0,0,43,34,75,0,152,0.18128654970760233
239,27,39485,8850,12679,69,99,66,75,0,0,1,109,122,82,-30,313,0.28870292887029286
352,0,102366,13680,8414,7,15,83,100,1,1,0,91,114,84,-8,289,0.019886363636363636
266,0,161536,9697,10156,211,304,50,35,0,0,0,45,28,70,-93,143,0.793233082706767
230,0,25440,7586,5519,0,0,88,165,0,0,0,80,146,82,0,308,0.0
166,0,80560,7265,11981,5,18,195,442,0,0,0,192,282,80,-13,554,0.030120481927710843
184,0,17225,7279,6612,227,301,44,33,0,0,0,56,49,46,-74,151,1.233695652173913
170,0,64395,7237,7025,55,122,48,47,0,0,0,42,28,38,-67,108,0.3235294117647059
262,14,92220,7555,7575,48,62,58,40,0,0,1,62,34,75,-14,171,0.183206106870229
123,0,70235,4004,5084,12,12,55,34,0,0,0,46,34,51,0,131,0.0975609756097561
108,108,0,1461,0,18,45,0,0,0,0,1,0,0,0,-27,0,0.16666666666666666
72,72,0,70,0,19,19,0,0,0,0,1,0,0,0,0,0,0.2638888888888889
435,44,42400,15897,20171,480,866,143,108,1,0,1,122,121,157,-386,400,1.103448275862069
532,0,56180,15795,14024,29,128,163,162,1,0,0,150,178,117,-99,445,0.05451127819548872
303,0,63600,12945,10456,0,1,58,28,1,0,0,74,41,91,-1,206,0.0
182,0,58300,7304,11780,2,3,79,73,0,0,0,116,111,60,-1,287,0.01098901098901099
88,88,30678,1224,0,0,1,0,0,0,0,1,0,0,0,-1,0,0.0
335,0,44255,12471,9655,4,4,116,121,0,0,0,106,121,122,0,349,0.011940298507462687
439,36,0,16032,11250,0,1,96,105,1,1,1,103,92,86,-1,281,0.0
485,24,81499,3288,931,9,9,0,0,0,0,1,0,0,0,0,0,0.018556701030927835
194,12,3282,9657,9304,0,0,83,65,1,0,1,98,63,91,0,252,0.0
196,0,4011,8151,6255,8,8,37,16,0,0,0,41,32,66,0,139,0.04081632653061224
402,0,46500,16807,13373,7,7,165,146,1,0,0,188,185,112,0,485,0.017412935323383085
157,0,35775,5726,5396,28,62,77,87,0,0,0,81,99,77,-34,257,0.17834394904458598
371,40,33655,16347,11059,46,47,87,109,1,0,1,90,129,85,-1,304,0.12398921832884097
217,20,61745,9489,7501,45,45,76,105,0,0,1,86,96,86,0,268,0.2073732718894009
150,0,25440,5990,2901,33,69,47,57,0,0,0,50,57,39,-36,146,0.22
510,0,51940,22751,16330,1,1,194,113,1,1,0,214,131,177,0,522,0.00196078431372549
88,88,0,1487,0,26,26,0,0,0,0,1,0,0,0,0,0,0.29545454545454547
206,10,50134,6374,7798,31,31,32,41,0,0,1,30,39,34,0,103,0.15048543689320387
527,31,62805,22927,26867,13,13,241,210,1,1,1,268,238,243,0,749,0.024667931688804556
244,19,38955,11003,11392,27,38,79,91,0,0,1,75,119,78,-11,272,0.11065573770491803
